"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","QGDP","TOT","PC_CHGPP","Q","2011-Q1",0.933130719,
"KOR","QGDP","TOT","PC_CHGPP","Q","2011-Q2",0.490791061,
"KOR","QGDP","TOT","PC_CHGPP","Q","2011-Q3",0.526323638,
"KOR","QGDP","TOT","PC_CHGPP","Q","2011-Q4",0.472298068,
"KOR","QGDP","TOT","PC_CHGPP","Q","2012-Q1",0.8765106,
"KOR","QGDP","TOT","PC_CHGPP","Q","2012-Q2",0.563545488,
"KOR","QGDP","TOT","PC_CHGPP","Q","2012-Q3",0.43279333,
"KOR","QGDP","TOT","PC_CHGPP","Q","2012-Q4",0.504488573,
"KOR","QGDP","TOT","PC_CHGPP","Q","2013-Q1",0.88172649,
"KOR","QGDP","TOT","PC_CHGPP","Q","2013-Q2",1.176438489,
"KOR","QGDP","TOT","PC_CHGPP","Q","2013-Q3",0.857539187,
"KOR","QGDP","TOT","PC_CHGPP","Q","2013-Q4",0.786865809,
"KOR","QGDP","TOT","PC_CHGPP","Q","2014-Q1",0.953416381,
"KOR","QGDP","TOT","PC_CHGPP","Q","2014-Q2",0.850183714,
"KOR","QGDP","TOT","PC_CHGPP","Q","2014-Q3",0.307228277,
"KOR","QGDP","TOT","PC_CHGPP","Q","2014-Q4",0.447209112,
"KOR","QGDP","TOT","PC_CHGPP","Q","2015-Q1",0.85708663,
"KOR","QGDP","TOT","PC_CHGPP","Q","2015-Q2",0.407245134,
"KOR","QGDP","TOT","PC_CHGPP","Q","2015-Q3",1.46899908,
"KOR","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.720414295,
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.285961789,
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q2",1.126821795,
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.443509971,
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.76271622,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.816715577,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.691752418,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q3",1.46497131,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q4",-0.074981114,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q1",1.066269651,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.615519517,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.577084666,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.865439871,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-0.339694341,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.014142649,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.375455057,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.311630082,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.281701518,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-3.153851888,"P"
"GBR","QGDP","TOT","PC_CHGPP","Q","2011-Q1",0.361065142,
"GBR","QGDP","TOT","PC_CHGPP","Q","2011-Q2",0.085658608,
"GBR","QGDP","TOT","PC_CHGPP","Q","2011-Q3",0.336350215,
"GBR","QGDP","TOT","PC_CHGPP","Q","2011-Q4",0.130933036,
"GBR","QGDP","TOT","PC_CHGPP","Q","2012-Q1",0.692782118,
"GBR","QGDP","TOT","PC_CHGPP","Q","2012-Q2",-0.146993818,
"GBR","QGDP","TOT","PC_CHGPP","Q","2012-Q3",1.218985245,
"GBR","QGDP","TOT","PC_CHGPP","Q","2012-Q4",-0.216586554,
"GBR","QGDP","TOT","PC_CHGPP","Q","2013-Q1",0.529114954,
"GBR","QGDP","TOT","PC_CHGPP","Q","2013-Q2",0.803993683,
"GBR","QGDP","TOT","PC_CHGPP","Q","2013-Q3",0.934788322,
"GBR","QGDP","TOT","PC_CHGPP","Q","2013-Q4",0.641956172,
"GBR","QGDP","TOT","PC_CHGPP","Q","2014-Q1",0.768041332,
"GBR","QGDP","TOT","PC_CHGPP","Q","2014-Q2",0.650992966,
"GBR","QGDP","TOT","PC_CHGPP","Q","2014-Q3",0.564227306,
"GBR","QGDP","TOT","PC_CHGPP","Q","2014-Q4",0.585429575,
"GBR","QGDP","TOT","PC_CHGPP","Q","2015-Q1",0.54111587,
"GBR","QGDP","TOT","PC_CHGPP","Q","2015-Q2",0.746769791,
"GBR","QGDP","TOT","PC_CHGPP","Q","2015-Q3",0.38718278,
"GBR","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.656160291,
"GBR","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.199057098,
"GBR","QGDP","TOT","PC_CHGPP","Q","2016-Q2",0.452700714,
"GBR","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.305516255,
"GBR","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.596680496,
"GBR","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.496099212,
"GBR","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.292920672,
"GBR","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.423409183,
"GBR","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.355002114,
"GBR","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.069019083,
"GBR","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.382631967,
"GBR","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.596472835,
"GBR","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.166751655,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.551073721,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",-0.017923531,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.325823198,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.149395602,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.522693203,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-19.810925559,
"JPN","QGDP","TOT","PC_CHGPP","Q","2011-Q1",-1.397100255,
"JPN","QGDP","TOT","PC_CHGPP","Q","2011-Q2",-0.6566177,
"JPN","QGDP","TOT","PC_CHGPP","Q","2011-Q3",2.492250375,
"JPN","QGDP","TOT","PC_CHGPP","Q","2011-Q4",-0.158817489,
"JPN","QGDP","TOT","PC_CHGPP","Q","2012-Q1",1.21288196,
"JPN","QGDP","TOT","PC_CHGPP","Q","2012-Q2",-0.738282182,
"JPN","QGDP","TOT","PC_CHGPP","Q","2012-Q3",-0.379657909,
"JPN","QGDP","TOT","PC_CHGPP","Q","2012-Q4",0.264806539,
"JPN","QGDP","TOT","PC_CHGPP","Q","2013-Q1",1.226971939,
"JPN","QGDP","TOT","PC_CHGPP","Q","2013-Q2",0.763577263,
"JPN","QGDP","TOT","PC_CHGPP","Q","2013-Q3",0.837256929,
"JPN","QGDP","TOT","PC_CHGPP","Q","2013-Q4",-0.031858231,
"JPN","QGDP","TOT","PC_CHGPP","Q","2014-Q1",1.001979472,
"JPN","QGDP","TOT","PC_CHGPP","Q","2014-Q2",-1.93160782,
"JPN","QGDP","TOT","PC_CHGPP","Q","2014-Q3",0.093800549,
"JPN","QGDP","TOT","PC_CHGPP","Q","2014-Q4",0.498028154,
"JPN","QGDP","TOT","PC_CHGPP","Q","2015-Q1",1.384985308,
"JPN","QGDP","TOT","PC_CHGPP","Q","2015-Q2",0.093366205,
"JPN","QGDP","TOT","PC_CHGPP","Q","2015-Q3",-0.058709836,
"JPN","QGDP","TOT","PC_CHGPP","Q","2015-Q4",-0.380021674,
"JPN","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.524430964,
"JPN","QGDP","TOT","PC_CHGPP","Q","2016-Q2",0.112072968,
"JPN","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.221620594,
"JPN","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.290885299,
"JPN","QGDP","TOT","PC_CHGPP","Q","2017-Q1",1.190234889,
"JPN","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.303439352,
"JPN","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.572753918,
"JPN","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.466696123,
"JPN","QGDP","TOT","PC_CHGPP","Q","2018-Q1",-0.428327786,
"JPN","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.368011868,
"JPN","QGDP","TOT","PC_CHGPP","Q","2018-Q3",-0.811364985,
"JPN","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.568442044,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.709823394,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.406960968,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.049785185,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-1.81380781,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.568257776,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.156224263,
"CAN","QGDP","TOT","PC_CHGPP","Q","2011-Q1",0.755347044,
"CAN","QGDP","TOT","PC_CHGPP","Q","2011-Q2",0.19480651,
"CAN","QGDP","TOT","PC_CHGPP","Q","2011-Q3",1.379639562,
"CAN","QGDP","TOT","PC_CHGPP","Q","2011-Q4",0.78751324,
"CAN","QGDP","TOT","PC_CHGPP","Q","2012-Q1",0.064087343,
"CAN","QGDP","TOT","PC_CHGPP","Q","2012-Q2",0.326163737,
"CAN","QGDP","TOT","PC_CHGPP","Q","2012-Q3",0.136217106,
"CAN","QGDP","TOT","PC_CHGPP","Q","2012-Q4",0.20678147,
"CAN","QGDP","TOT","PC_CHGPP","Q","2013-Q1",0.897004855,
"CAN","QGDP","TOT","PC_CHGPP","Q","2013-Q2",0.580357191,
"CAN","QGDP","TOT","PC_CHGPP","Q","2013-Q3",0.814973402,
"CAN","QGDP","TOT","PC_CHGPP","Q","2013-Q4",1.050559545,
"CAN","QGDP","TOT","PC_CHGPP","Q","2014-Q1",0.163447761,
"CAN","QGDP","TOT","PC_CHGPP","Q","2014-Q2",0.913329104,
"CAN","QGDP","TOT","PC_CHGPP","Q","2014-Q3",0.959051308,
"CAN","QGDP","TOT","PC_CHGPP","Q","2014-Q4",0.691975668,
"CAN","QGDP","TOT","PC_CHGPP","Q","2015-Q1",-0.549519408,
"CAN","QGDP","TOT","PC_CHGPP","Q","2015-Q2",-0.272172083,
"CAN","QGDP","TOT","PC_CHGPP","Q","2015-Q3",0.353701829,
"CAN","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.074877376,
"CAN","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.54850084,
"CAN","QGDP","TOT","PC_CHGPP","Q","2016-Q2",-0.491711724,
"CAN","QGDP","TOT","PC_CHGPP","Q","2016-Q3",1.031213682,
"CAN","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.561483087,
"CAN","QGDP","TOT","PC_CHGPP","Q","2017-Q1",1.151748217,
"CAN","QGDP","TOT","PC_CHGPP","Q","2017-Q2",1.179154447,
"CAN","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.356617295,
"CAN","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.435260603,
"CAN","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.543377507,
"CAN","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.390584689,
