"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","QGDP","TOT","PC_CHGPP","Q","2015-Q1",0.857087,
"KOR","QGDP","TOT","PC_CHGPP","Q","2015-Q2",0.407245,
"KOR","QGDP","TOT","PC_CHGPP","Q","2015-Q3",1.468999,
"KOR","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.720414,
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.285962,
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q2",1.126822,
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.44351,
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.762716,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.816716,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.691752,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q3",1.464971,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q4",-0.074981,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q1",1.06627,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.61552,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.577085,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.86544,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-0.339694341,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.014142649,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.375455057,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.311630082,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.281701518,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-3.153851888,"P"
"GBR","QGDP","TOT","PC_CHGPP","Q","2015-Q1",0.526764,
"GBR","QGDP","TOT","PC_CHGPP","Q","2015-Q2",0.713107,
"GBR","QGDP","TOT","PC_CHGPP","Q","2015-Q3",0.429995,
"GBR","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.747434,
"GBR","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.166348,
"GBR","QGDP","TOT","PC_CHGPP","Q","2016-Q2",0.530744,
"GBR","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.45077,
"GBR","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.649613,
"GBR","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.576446,
"GBR","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.251392,
"GBR","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.34046,
"GBR","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.399228,
"GBR","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.05949,
"GBR","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.526678,
"GBR","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.587147,
"GBR","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.214108,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.658128368,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",-0.056562604,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.511653695,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.00019087,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.187178503,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-20.374742906,
"JPN","QGDP","TOT","PC_CHGPP","Q","2015-Q1",1.376573807,
"JPN","QGDP","TOT","PC_CHGPP","Q","2015-Q2",0.102980241,
"JPN","QGDP","TOT","PC_CHGPP","Q","2015-Q3",-0.06112205,
"JPN","QGDP","TOT","PC_CHGPP","Q","2015-Q4",-0.378956595,
"JPN","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.517264656,
"JPN","QGDP","TOT","PC_CHGPP","Q","2016-Q2",0.120010305,
"JPN","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.218434878,
"JPN","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.293329861,
"JPN","QGDP","TOT","PC_CHGPP","Q","2017-Q1",1.185190242,
"JPN","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.307656446,
"JPN","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.56944219,
"JPN","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.47129093,
"JPN","QGDP","TOT","PC_CHGPP","Q","2018-Q1",-0.431609128,
"JPN","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.360729481,
"JPN","QGDP","TOT","PC_CHGPP","Q","2018-Q3",-0.811956472,
"JPN","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.574906822,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.703932637,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.409732936,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.041310655,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-1.796633024,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.58200285,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.919519426,
"CAN","QGDP","TOT","PC_CHGPP","Q","2015-Q1",-0.549519,
"CAN","QGDP","TOT","PC_CHGPP","Q","2015-Q2",-0.272172,
"CAN","QGDP","TOT","PC_CHGPP","Q","2015-Q3",0.353702,
"CAN","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.074877,
"CAN","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.548501,
"CAN","QGDP","TOT","PC_CHGPP","Q","2016-Q2",-0.491712,
"CAN","QGDP","TOT","PC_CHGPP","Q","2016-Q3",1.031214,
"CAN","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.561483,
"CAN","QGDP","TOT","PC_CHGPP","Q","2017-Q1",1.151748,
"CAN","QGDP","TOT","PC_CHGPP","Q","2017-Q2",1.179154,
"CAN","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.356617,
